Product Name,Quantity,Unit_price,Payment_method,discount %,Final_price
Wine - White Pinot Grigio,6,122.47,Visa,5.0 %,116.34650115966797
Pepper - Red Thai,5,23.18,Cash,0.0 %,23.18000030517578
Wine - Chardonnay Mondavi,7,189.74,Cash,5.0 %,180.25300521850585
External Supplier,14,9.92,Visa,7.0 %,9.22560007095337
Beans - Black Bean Preserved,13,145.85,Cash,7.0 %,135.64050567626953
Beef - Inside Round,9,247.62,Visa,5.0 %,235.23899536132814
Bread - Calabrese Baguette,1,111.21,Visa,4.0 %,106.76159912109375
Zucchini - Mini Green,15,146.75,Visa,10.0 %,132.075
Eggs - Extra Large,16,48.05,Visa,11.5 %,42.52424932479858
Pork - Liver,17,191.13,Visa,10.0 %,172.01700439453126
Sesame Seed,4,62.69,Cash,0.0 %,62.689998626708984
Tuna - Yellowfin,9,183.3,Cash,5.0 %,174.13500289916993
Wine - Magnotta - Belpaese,9,101.36,Cash,8.0 %,93.25120056152343
Bar Bran Honey Nut,15,13.21,Cash,10.0 %,11.889000034332275
Cake - French Pear Tart,12,215.63,Cash,7.0 %,200.5359045410156
Carbonated Water - Wildberry,2,19.31,Cash,0.0 %,19.309999465942383
Pork - Ham Virginia,14,208.26,Cash,7.0 %,193.6817948913574
Wine - Prosecco Valdobienne,15,221.11,Visa,7.5 %,204.5267505645752
Lettuce - Boston Bib - Organic,6,96.43,Visa,5.0 %,91.60850028991699
Wine - Marlbourough Sauv Blanc,4,233.83,Visa,15.0 %,198.7555015563965
Longos - Chicken Cordon Bleu,16,193.04,Cash,10.0 %,173.73599395751953
Beef Striploin Aaa,9,81.77,Cash,5.0 %,77.68149681091309
Sauce - Oyster,2,69.06,Visa,14.0 %,59.39159790039062
Barley - Pearl,3,94.98,Visa,0.0 %,94.9800033569336
Cheese Cloth No 60,16,49.41,Visa,10.0 %,44.4689998626709
Cut Wakame - Hanawakaba,16,190.34,Cash,10.0 %,171.30599670410157
Kolrabi,14,29.13,Visa,14.5 %,24.906149282455445
Coffee - Espresso,12,61.91,Visa,4.5 %,59.12404985427857
Beef - Kindney Whole,14,7.41,Visa,18.0 %,6.07619987487793
Honey - Comb,3,97.54,Visa,0.0 %,97.54000091552734
Soup Campbells Turkey Veg.,1,1.86,Cash,25.0 %,1.395000010728836
Syrup - Monin - Blue Curacao,9,62.85,Visa,15.5 %,53.108248710632324
Coffee Beans - Chocolate,15,29.33,Cash,10.0 %,26.39699993133545
Wine - Vidal Icewine Magnotta,17,220.37,Visa,7.5 %,203.84224548339844
Island Oasis - Peach Daiquiri,16,128.13,Visa,10.0 %,115.31700439453125
Lychee,4,16.08,Cash,0.0 %,16.079999923706055
Contreau,11,222.63,Visa,7.0 %,207.04590454101563
Cheese - Taleggio D.o.p.,1,205.18,Visa,10.5 %,183.6360934448242
Persimmons,14,80.81,Cash,7.0 %,75.15329772949218
Towels - Paper / Kraft,7,17.24,Cash,5.0 %,16.377999782562256
Pastry - Cheese Baked Scones,11,232.08,Visa,8.5 %,212.35320167541505
Honey - Liquid,16,103.96,Cash,10.0 %,93.56399917602539
Veal - Bones,14,48.36,Visa,7.0 %,44.97480056762695
Beets,16,108.46,Cash,16.5 %,90.56409923553467
Wine - Saint Emilion Calvet,5,31.56,Visa,5.0 %,29.981999492645265
Coffee - Ristretto Coffee Capsule,12,234.0,Visa,7.0 %,217.62
Beef - Tenderlion Center Cut,7,245.12,Visa,8.5 %,224.28479553222655
Pails With Lids,5,156.56,Visa,0.0 %,156.55999755859375
Wine - Cousino Macul Antiguas,1,78.82,Visa,5.0 %,74.87899971008301
Puree - Mango,7,236.95,Cash,5.0 %,225.10249710083008
Soup - Campbells Chili,3,167.22,Cash,0.0 %,167.22000122070312
Table Cloth 91x91 Colour,1,132.54,Visa,0.0 %,132.5399932861328
Apron,6,139.54,Cash,5.0 %,132.56299362182617
Chocolate - Mi - Amere Semi,6,227.37,Visa,5.0 %,216.00149536132812
Tomatoes - Plum Canned,10,68.25,Cash,7.0 %,63.4725
Oysters - Smoked,15,66.86,Visa,10.0 %,60.1740005493164
Pork - Chop Frenched,2,154.51,Cash,12.0 %,135.96879516601564
Pastry - Baked Cinnamon Stick,12,64.08,Visa,15.5 %,54.14760154724121
Bread Foccacia Whole,1,198.9,Visa,15.0 %,169.06499481201172
Tuna - Loin,7,26.01,Visa,5.0 %,24.709500217437743
Corn Syrup,8,124.55,Visa,5.0 %,118.32250289916992
Wine - Bouchard La Vignee Pinot,5,202.72,Visa,17.0 %,168.2576010131836
Lamb - Pieces Diced,5,85.41,Cash,0.0 %,85.41000366210938
Cocoa Butter,3,149.72,Visa,28.0 %,107.79840087890625
Juice - Apple 284ml,2,24.63,Cash,0.0 %,24.6299991607666
Tomato - Plum With Basil,3,71.15,Cash,0.0 %,71.1500015258789
Wine - Magnotta White,4,136.58,Cash,5.0 %,129.75100173950196
Veal - Knuckle,10,186.71,Cash,7.0 %,173.64030624389648
Sugar - Brown,13,218.79,Visa,10.5 %,195.81704399108887
